<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230619;000000;244.4600000;244.6900000;241.3200000;242.2800000;29777860
SBER;D;230620;000000;241.9500000;242.2200000;238.8200000;241.7400000;36578050
SBER;D;230621;000000;241.9000000;243.9200000;240.6000000;242.2000000;26644780
SBER;D;230622;000000;242.1000000;242.8000000;240.1300000;240.6600000;23093570
SBER;D;230623;000000;239.9600000;240.9900000;234.3400000;235.6700000;61661860
SBER;D;230626;000000;239.6000000;240.5000000;233.4000000;238.4000000;81032100
SBER;D;230627;000000;239.0200000;242.3400000;236.8000000;241.2100000;51321260
SBER;D;230628;000000;241.8000000;241.8000000;238.6000000;239.6700000;28217550
SBER;D;230629;000000;239.7500000;241.2600000;239.0200000;239.9900000;28077670
SBER;D;230630;000000;240.0000000;240.6800000;238.3600000;239.6100000;24011230
SBER;D;230703;000000;240.0000000;244.5600000;239.1500000;243.3300000;47207170
SBER;D;230704;000000;243.4500000;243.7800000;240.6100000;240.7000000;41487820
SBER;D;230705;000000;241.4800000;241.9000000;240.2400000;240.9500000;19841190
SBER;D;230706;000000;241.4500000;242.4700000;240.7100000;240.9600000;23175870
SBER;D;230707;000000;241.2000000;243.7500000;240.7000000;243.6700000;30201090
SBER;D;230710;000000;244.2200000;249.4500000;244.2000000;249.4000000;64946220
SBER;D;230711;000000;250.0200000;250.2000000;246.5100000;247.9900000;49073930
SBER;D;230712;000000;248.3900000;249.2000000;246.1000000;247.5200000;39166310
SBER;D;230713;000000;247.9600000;248.1500000;245.3400000;246.1900000;29474970
SBER;D;230714;000000;246.3000000;247.0500000;244.5100000;246.4500000;25576610
SBER;D;230717;000000;244.7600000;246.2000000;243.6000000;245.3900000;35730950
SBER;D;230718;000000;245.6000000;247.5000000;245.2600000;246.7700000;35911790
SBER;D;230719;000000;247.2100000;248.1000000;245.0000000;245.8500000;31394740
SBER;D;230720;000000;246.2500000;246.2500000;242.1500000;242.7000000;35960520
SBER;D;230721;000000;243.1700000;244.5300000;241.7000000;244.1300000;32120690
SBER;D;230724;000000;243.9900000;245.8500000;243.5200000;244.8700000;19681330
SBER;D;230725;000000;245.3700000;247.7700000;244.8100000;247.2000000;39683790
SBER;D;230726;000000;247.2200000;248.3300000;245.9000000;247.0500000;26031980
SBER;D;230727;000000;247.5100000;249.3000000;247.2400000;247.9500000;39756100
SBER;D;230728;000000;247.9900000;249.4500000;246.6700000;249.2500000;35742280
SBER;D;230731;000000;251.3500000;267.7700000;251.3500000;267.4000000;167081570
SBER;D;230801;000000;268.9800000;273.3500000;264.1000000;268.5000000;162474350
SBER;D;230802;000000;268.5300000;269.9700000;266.5200000;268.5700000;48208590
SBER;D;230803;000000;269.0100000;271.3500000;266.8000000;269.1100000;75376240
SBER;D;230804;000000;269.4800000;272.9600000;261.2100000;264.1200000;132164900
SBER;D;230807;000000;266.5000000;268.0900000;260.5000000;261.9200000;61223950
SBER;D;230808;000000;261.9100000;265.4400000;258.8000000;264.6200000;65005790
SBER;D;230809;000000;265.4600000;265.8000000;263.0500000;263.9100000;34850720
SBER;D;230810;000000;264.7200000;267.5000000;263.9600000;266.9100000;37190100
SBER;D;230811;000000;267.2000000;267.4000000;264.8000000;266.2300000;24716230
SBER;D;230814;000000;267.3700000;268.7700000;259.1500000;260.4500000;86583040
SBER;D;230815;000000;259.1000000;264.1700000;256.6300000;260.4200000;58967150
SBER;D;230816;000000;261.2900000;261.6800000;254.3300000;256.0200000;71737910
SBER;D;230817;000000;257.1900000;258.8000000;255.5000000;258.5000000;35682720
SBER;D;230818;000000;258.3900000;261.3700000;257.3500000;261.1400000;30973320
SBER;D;230821;000000;262.3300000;263.0600000;259.5100000;261.1500000;35622200
SBER;D;230822;000000;261.9000000;262.1100000;259.8100000;261.4500000;25893210
SBER;D;230823;000000;261.5500000;261.8300000;256.0000000;256.4000000;53079140
SBER;D;230824;000000;257.6200000;259.9400000;256.4000000;259.6300000;26823420
