Date,Title,URL
22 ноября 2023,Газпром. В противофазе к рынку,https://bcs-express.ru/tehanaliz/gazp/22.11.23
21 ноября 2023,5 отстающих акций 2023 года. На какие из них стоит обратить внимание,https://bcs-express.ru/novosti-i-analitika/5-otstaiushchikh-aktsii-2023-goda-na-kakie-iz-nikh-stoit-obratit-vnimanie
21 ноября 2023,Газпром. Шансы на подъем сохраняются,https://bcs-express.ru/tehanaliz/gazp/21.11.23
20 ноября 2023,Газпром. Ложный пробой дает надежду,https://bcs-express.ru/tehanaliz/gazp/20.11.23
17 ноября 2023,Газпром. Удастся ли избежать новых минимумов,https://bcs-express.ru/tehanaliz/gazp/17.11.23
16 ноября 2023,Газпром. В фокусе может быть уровень 165,https://bcs-express.ru/tehanaliz/gazp/16.11.23
15 ноября 2023,Газпром. Надежды на отскок не оправдались,https://bcs-express.ru/tehanaliz/gazp/15.11.23
14 ноября 2023,Газпром. Пружина сжимается,https://bcs-express.ru/tehanaliz/gazp/14.11.23
13 ноября 2023,Газпром. Есть шансы на завершение коррекции,https://bcs-express.ru/tehanaliz/gazp/13.11.23
10 ноября 2023,Газпром. Краткосрочный тренд сломлен,https://bcs-express.ru/tehanaliz/gazp/10.11.23
9 ноября 2023,Газпром. У границы тренда,https://bcs-express.ru/tehanaliz/gazp/09.11.23
8 ноября 2023,Газпром отчитался за III квартал. Резкий рост прибыли — что с ним не так,https://bcs-express.ru/novosti-i-analitika/gazprom-otchitalsia-za-iii-kvartal-rezkii-rost-pribyli-chto-s-nim-ne-tak
8 ноября 2023,Газпром. Слабый сентимент в бумаге,https://bcs-express.ru/tehanaliz/gazp/08.11.23
7 ноября 2023,Газпром. Технический расклад,https://bcs-express.ru/tehanaliz/gazp/07.11.23
2 ноября 2023,Газпром. Акции снова нравятся инвесторам,https://bcs-express.ru/tehanaliz/gazp/02.11.23
1 ноября 2023,Газпром. Неожиданно сильнее рынка,https://bcs-express.ru/tehanaliz/gazp/01.11.23
31 октября 2023,Газпром. Сигналов к развороту не наблюдается,https://bcs-express.ru/tehanaliz/gazp/31.10.23
30 октября 2023,Газпром. Снижение продолжается,https://bcs-express.ru/tehanaliz/gazp/30.10.23
27 октября 2023,Газпром. Продавцы не спешат,https://bcs-express.ru/tehanaliz/gazp/27.10.23
26 октября 2023,Газпром. Котировки ушли под уровень 170,https://bcs-express.ru/tehanaliz/gazp/26.10.23
