Date,Time,Title,URL,Type,Ticker
2024-04-24,12:24,"Ход торгов. Рынок продолжает снижение, но ряд тяжеловесов отскакивает",https://bcs-express.ru/novosti-i-analitika/khod-torgov-rynok-prodolzhaet-snizhenie-no-riad-tiazhelovesov-otskakivaet,Российский рынок,SBER
2024-04-24,08:47,Сбербанк-ао. Объявили дивиденды — зафиксировали прибыль,https://bcs-express.ru/tehanaliz/sber/24.04.24,Теханализ,SBER
2024-04-23,15:56,Портфели БКС. Фавориты прибавили 11% за три месяца,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-favority-pribavili-11-za-tri-mesiatsa,Российский рынок,SBER
2024-04-23,15:40,5 идей в российских акциях. Добавляем нефтяную фишку,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-dobavliaem-neftianuiu-fishku,Российский рынок,SBER
2024-04-23,15:14,"Ход торгов. Татнефть вверх, Сбер и Сургутнефтегаз — среди аутсайдеров",https://bcs-express.ru/novosti-i-analitika/khod-torgov-tatneft-vverkh-sber-i-surgut-sredi-autsaiderov,Российский рынок,SBER
2024-04-23,12:21,Сбербанк анонсировал дивиденды за 2023,https://bcs-express.ru/novosti-i-analitika/sberbank-anonsiroval-dividendy-za-2023,Дивиденды,SBER
2024-04-23,12:06,Ход торгов. В фокусе дивидендные новости — кто и сколько выплатит,https://bcs-express.ru/novosti-i-analitika/khod-torgov-v-fokuse-dividendnye-novosti-kto-i-skol-ko-vyplatit,Российский рынок,SBER
2024-04-23,08:07,Сбербанк. Новый долгосрочный максимум — 315,https://bcs-express.ru/tehanaliz/sber/23.04.24,Теханализ,SBER
2024-04-22,21:25,Итоги торгов. Новые вершины вопреки негативу,https://bcs-express.ru/novosti-i-analitika/itogi-torgov-novye-vershiny-vopreki-negativu,Российский рынок,SBER
2024-04-22,15:22,Ход торгов. Финансовый сектор сегодня в лидерах роста,https://bcs-express.ru/novosti-i-analitika/khod-torgov-finansovyi-sektor-segodnia-v-liderakh-rosta,Российский рынок,SBER
2024-04-22,09:59,Сбербанк. Покупатели сохраняют контроль в среднесрочном периоде,https://bcs-express.ru/tehanaliz/sber/22.04.24,Теханализ,SBER
2024-04-19,08:33,Сбербанк. Отскочили от 200-часовой скользящей средней,https://bcs-express.ru/tehanaliz/sber/19.04.24,Теханализ,SBER
2024-04-18,08:19,Сбербанк. Оживление после застойного боковика,https://bcs-express.ru/tehanaliz/sber/18.04.24,Теханализ,SBER
2024-04-17,09:18,Сбербанк. Локальные просадки выкупаются,https://bcs-express.ru/tehanaliz/sber/17.04.24,Теханализ,SBER
2024-04-16,17:00,Топ акций: ищем привлекательные идеи на фондовом рынке,https://bcs-express.ru/novosti-i-analitika/top-aktsii-ishchem-privlekatel-nye-idei-na-fondovom-rynke,Российский рынок,SBER
2024-04-16,16:01,Портфели БКС. Включаем Распадскую в аутсайдеры,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-vkliuchaem-raspadskuiu-v-autsaidery,Российский рынок,SBER
2024-04-16,08:29,Сбербанк. Пора выбираться из узкого боковика,https://bcs-express.ru/tehanaliz/sber/16.04.24,Теханализ,SBER
2024-04-16,07:52,Финансы vs промышленность: лучший и худший,https://bcs-express.ru/novosti-i-analitika/finansy-vs-promyshlennost-luchshii-i-khudshii-sektora,Российский рынок,SBER
2024-04-15,15:20,5 идей в российских акциях. На какие фишки обратить внимание,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-na-kakie-fishki-obratit-vnimanie,Российский рынок,SBER
2024-04-15,07:58,Сбербанк. Цена держится у максимумов,https://bcs-express.ru/tehanaliz/sber/15.04.24,Теханализ,SBER
2024-04-13,16:11,Топ-3 компании с космическими показателями. Какие российские акции взлетят?,https://bcs-express.ru/novosti-i-analitika/top-3-kompanii-s-kosmicheskimi-pokazateliami-kakie-rossiiskie-aktsii-vzletiat,Новости,SBER
2024-04-12,15:26,Записки инвестора. Что держать в фокусе,https://bcs-express.ru/novosti-i-analitika/1712923734-zapiski-investora-chto-derzhat-v-fokuse,Российский рынок,SBER
2024-04-12,08:41,"Сбербанк. Активность невысокая, инициатива все еще у покупателей",https://bcs-express.ru/tehanaliz/sber/12.04.24,Теханализ,SBER
2024-04-11,15:21,Что шортят и покупают с плечом клиенты БКС. Банки в фаворитах,https://bcs-express.ru/novosti-i-analitika/chto-shortiat-i-pokupaiut-s-plechom-klienty-bks-banki-v-favoritakh,Российский рынок,SBER
2024-04-11,08:26,"Сбербанк. Пробили локальный тренд, но выкупается внутридневная просадка",https://bcs-express.ru/tehanaliz/sber/11.04.24,Теханализ,SBER
2024-04-10,12:26,Сбер: тренд на рост прибыли сохраняется,https://bcs-express.ru/novosti-i-analitika/sber-trend-na-rost-pribyli-sokhraniaetsia,Российский рынок,SBER
2024-04-10,12:21,"Ход торгов. РУСАЛ снова среди лидеров, растет Газпром",https://bcs-express.ru/novosti-i-analitika/khod-torgov-rusal-snova-sredi-liderov-rastet-gazprom,Российский рынок,SBER
2024-04-10,08:42,Сбербанк. Продавцы осаждают локальный растущий тренд,https://bcs-express.ru/tehanaliz/sber/10.04.24,Теханализ,SBER
2024-04-10,08:22,Дивидендные триггеры для акций в апреле – мае 2024,https://bcs-express.ru/novosti-i-analitika/dividendnye-triggery-dlia-aktsii-v-aprele-mae-2024,Российский рынок,SBER
2024-04-09,16:23,Портфели БКС. Фавориты выросли на 12% за три месяца,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-favority-vyrosli-na-12-za-tri-mesiatsa,Российский рынок,SBER
2024-04-09,11:35,Сбер и ВТБ против Мосбиржи. Подтверждаем парную идею,https://bcs-express.ru/novosti-i-analitika/sber-i-vtb-protiv-mosbirzhi-ozhidaemaia-dokhodnost-10-k-nachalu-maia,Торговые рекомендации*,SBER
2024-04-09,10:25,"Старт дня. Рынок акций растет, отчетность Системы и Сбербанка",https://bcs-express.ru/novosti-i-analitika/start-dnia-rynok-aktsii-rastet-otchetnost-sistemy-i-sberbanka,Российский рынок,SBER
2024-04-09,10:07,Сбербанк отчитался за март. Прибыль продолжает расти,https://bcs-express.ru/novosti-i-analitika/1712646452-sberbank-otchitalsia-za-mart,Российский рынок,SBER
2024-04-08,21:45,Отчеты российских компаний: календарь ближайших публикаций,https://bcs-express.ru/novosti-i-analitika/1712600988-otchety-rossiiskikh-kompanii-kalendar-blizhaishikh-publikatsii,Российский рынок,SBER
2024-04-08,15:04,"Ход торгов. ЛУКОЙЛ устремился к максимумам, кто еще разогнался",https://bcs-express.ru/novosti-i-analitika/khod-torgov-lukoil-ustremilsia-k-maksimumam-kto-eshche-razognalsia,Российский рынок,SBER
2024-04-08,14:48,5 идей в российских акциях. Отмечаем перспективные бумаги,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-otmechaem-perspektivnye-bumagi,Российский рынок,SBER
2024-04-08,12:15,"Ход торгов. И снова выше 3400, какие бумаги в лидерах",https://bcs-express.ru/novosti-i-analitika/khod-torgov-i-snova-vyshe-3400-kakie-bumagi-v-liderakh,Российский рынок,SBER
2024-04-08,12:05,"Ключевые события недели. Протоколы ФРС, ставка ЕЦБ и отчетность российских компаний",https://bcs-express.ru/novosti-i-analitika/kliuchevye-sobytiia-nedeli-protokoly-fomc-zasedanie-etsb-i-otchetnost-rossiiskikh-kompanii,Российский рынок,SBER
2024-04-08,09:58,Сбербанк. Консолидация на достигнутых уровнях,https://bcs-express.ru/tehanaliz/sber/08.04.24,Теханализ,SBER
2024-04-05,06:53,Сбербанк. Сняли перекупленность на часовом таймфрейме,https://bcs-express.ru/tehanaliz/sber/05.04.24,Теханализ,SBER
2024-04-04,15:21,Локальный перегрев: как защититься от коррекции,https://bcs-express.ru/novosti-i-analitika/lokal-nyi-peregrev-kak-zashchitit-sia-ot-korrektsii,Российский рынок,SBER
2024-04-04,11:18,"На Мосбирже количество частных инвесторов превысило 31,1 млн",https://bcs-express.ru/novosti-i-analitika/na-mosbirzhe-kolichestvo-chastnykh-investorov-prevysilo-31-1-mln,Российский рынок,SBER
2024-04-04,09:46,Сбербанк. Возможен еще один шаг вверх перед откатом,https://bcs-express.ru/tehanaliz/sber/04.04.24,Теханализ,SBER
2024-04-04,08:31,Прогнозы и комментарии. А вот и 3400,https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-a-vot-i-3400,Российский рынок,SBER
2024-04-03,14:45,Сбер на максимумах с января 2022,https://bcs-express.ru/novosti-i-analitika/sber-na-maksimumakh-s-ianvaria-2022,Российский рынок,SBER
2024-04-03,13:43,"Сбер против Газпрома: доходность — 11,5% с начала февраля",https://bcs-express.ru/novosti-i-analitika/sber-protiv-gazproma-dokhodnost-11-5-s-nachala-fevralia,Торговые рекомендации*,SBER
2024-04-03,09:48,Сбербанк. Покупатели сохраняют инициативу,https://bcs-express.ru/tehanaliz/sber/03.04.24,Теханализ,SBER
2024-04-03,07:18,Портфели БКС. Замена в списке аутсайдеров,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-zamena-sredi-autsaiderov,Российский рынок,SBER
2024-04-02,14:10,Рынок на максимумах: как догнать уходящий поезд,https://bcs-express.ru/novosti-i-analitika/rynok-na-maksimumakh-kak-dognat-ukhodiashchii-poezd,Российский рынок,SBER
2024-04-02,08:20,Сбербанк. Цена стремится к максимумам марта,https://bcs-express.ru/tehanaliz/sber/02.04.24,Теханализ,SBER
2024-04-01,15:45,5 идей в российских акциях. 2 новые фишки,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-2-novye-fishki,Российский рынок,SBER
2024-04-01,08:37,Сбербанк. План на неделю,https://bcs-express.ru/tehanaliz/sber/01.04.24,Теханализ,SBER
2024-03-29,15:10,Идея в Сбере. Ожидаем дальнейший ререйтинг в преддверии дивидендов,https://bcs-express.ru/novosti-i-analitika/ideia-v-sbere-ozhidaem-dal-neishii-rereiting-v-preddverii-dividendov,Торговые рекомендации*,SBER
2024-03-29,08:47,Сбербанк. Снова на пороге сопротивления 300,https://bcs-express.ru/tehanaliz/sber/29.03.24,Теханализ,SBER
2024-03-28,13:56,Куда реинвестировать дивиденды и купоны,https://bcs-express.ru/novosti-i-analitika/2024598880-kuda-reinvestirovat-dividendy-i-kupony,Российский рынок,SBER
2024-03-28,09:46,Сбербанк. Близки к пробою сопротивлений,https://bcs-express.ru/tehanaliz/sber/28.03.24,Теханализ,SBER
2024-03-27,09:19,Сбербанк. Пора определяться с направлением,https://bcs-express.ru/tehanaliz/sber/27.03.24,Теханализ,SBER
2024-03-27,07:38,Портфели БКС. Замена среди фаворитов и аутсайдеров,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-proveli-zamenu-v-dvukh-korzinakh,Российский рынок,SBER
2024-03-26,15:17,Финансовый сектор: сдержанный потенциал роста. Стратегия на II квартал 2024,https://bcs-express.ru/novosti-i-analitika/finansovyi-sektor-sderzhannyi-potentsial-rosta-strategiia-na-ii-kvartal-2024,Российский рынок,SBER
2024-03-26,15:15,Сбербанк: серьезные цели трансформации до 2026,https://bcs-express.ru/novosti-i-analitika/sberbank-ser-eznye-tseli-transformatsii-do-2026,Российский рынок,SBER
2024-03-26,14:56,Стратегия на II квартал 2024: что ждет российский рынок и кто фавориты,https://bcs-express.ru/novosti-i-analitika/strategiia-na-ii-kvartal-2024-chto-zhdet-rossiiskii-rynok-i-kto-favority,Российский рынок,SBER
2024-03-26,09:24,Сбербанк. Скромный отскок от важного уровня поддержки,https://bcs-express.ru/tehanaliz/sber/26.03.24,Теханализ,SBER
2024-03-25,15:40,5 идей в российских акциях. Плюс одна акция под дивиденды,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-plius-odna-aktsiia-pod-dividendy,Российский рынок,SBER
2024-03-25,09:55,Сбербанк. Цена держится у границы восходящего канала,https://bcs-express.ru/tehanaliz/sber/25.03.24,Теханализ,SBER
2024-03-22,09:49,Сбербанк. Коррекционная волна в трехмесячном канале реализована,https://bcs-express.ru/tehanaliz/sber/22.03.24,Теханализ,SBER
2024-03-21,09:59,Сбербанк. Выкупили внутридневную просадку,https://bcs-express.ru/tehanaliz/sber/21.03.24,Теханализ,SBER
2024-03-20,10:43,Почему стоит реинвестировать дивиденды,https://bcs-express.ru/novosti-i-analitika/pochemu-stoit-reinvestirovat-dividendy,Обучение,SBER
2024-03-20,10:00,Сбербанк. Продолжает разгружать перекупленность,https://bcs-express.ru/tehanaliz/sber/20.03.24,Теханализ,SBER
2024-03-19,17:08,Портфели БКС. Внимание на фаворитов,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-vnimanie-na-favoritov,Российский рынок,SBER
2024-03-19,15:23,Годовое собрание акционеров Сбера состоится 21 июня,https://bcs-express.ru/novosti-i-analitika/godovoe-sobranie-aktsionerov-sbera-sostoitsia-21-iiunia,Российский рынок,SBER
2024-03-19,12:02,Портфель новичка. 5 историй долгосрочного роста,https://bcs-express.ru/novosti-i-analitika/portfel-novichka-5-istorii-dolgosrochnogo-rosta,Российский рынок,SBER
2024-03-19,09:47,Сбербанк. После консолидации может снова пойти на штурм максимумов,https://bcs-express.ru/tehanaliz/sber/19.03.24,Теханализ,SBER
2024-03-18,18:06,Дивиденды: фантазии и реальность на примере ЛСР,https://bcs-express.ru/novosti-i-analitika/dividendy-fantazii-i-real-nost-na-primere-lsr,Российский рынок,SBER
